Gender,Height,Weight,height_cm,weight_kg,female,fem_hgt,hgt_sq,Rand1,Rand2,Rand3,Rand4,Rand5
Male,73.84701702,241.8935632,187.5714232,109.7209851,0,0,35183.03881,0.025490669,0.120120912,0.373560128,0.573018936,0.247870812
Male,68.78190405,162.3104725,174.7060363,73.62273185,0,0,30522.19911,0.711676374,0.797030038,0.863125363,0.487323919,0.826273071
Male,74.11010539,212.7408556,188.2396677,96.49755015,0,0,35434.17249,0.37413017,0.976554847,0.470525557,0.225653266,0.82972665
Male,71.7309784,220.0424703,182.1966851,99.80950419,0,0,33195.63208,0.162348418,0.576161048,0.699031066,0.504395713,0.365769144
Male,69.88179586,206.3498006,177.4997615,93.59861876,0,0,31506.16533,0.007860349,0.082616921,0.139361047,0.351889092,0.200504134
Male,67.25301569,152.2121558,170.8226598,69.04221615,0,0,29180.38112,0.425229359,0.004844726,0.489462995,0.854442856,0.318397834
Male,68.78508125,183.9278886,174.7141064,83.42821885,0,0,30525.01897,0.04961286,0.015682416,0.363535175,0.14066496,0.674095505
Male,68.34851551,167.9711105,173.6052294,76.19035195,0,0,30138.77567,0.150563498,0.304680602,0.579796598,0.874175341,0.404921878
Male,67.01894966,175.9294404,170.2281321,79.80018673,0,0,28977.61697,0.878035296,0.039712792,0.875003046,0.718146929,0.747553539
Male,63.45649398,156.3996764,161.1794947,70.94164201,0,0,25978.82951,0.222325904,0.845029883,0.725200844,0.844492724,0.809819274
Male,71.19538228,186.6049256,180.836271,84.64250139,0,0,32701.75691,0.510009963,0.189211984,0.330159575,0.070152879,0.192167676
Male,71.64080512,213.7411695,181.967645,96.95128455,0,0,33112.22383,0.953512829,0.259389262,0.264862378,0.288393238,0.950332894
Male,64.76632913,167.1274611,164.506476,75.80767932,0,0,27062.38065,0.695380907,0.911111089,0.897263779,0.981374775,0.653092773
Male,69.2830701,189.4461814,175.978998,85.93127231,0,0,30968.60775,0.509323134,0.889817534,0.461625551,0.043641184,0.632583924
Male,69.24373223,186.434168,175.8790799,84.56504714,0,0,30933.45073,0.827537088,0.522724453,0.940423842,0.984430136,0.845384808
Male,67.6456197,172.1869301,171.819874,78.10261398,0,0,29522.06911,0.502737192,0.107799535,0.061585639,0.794615554,0.926220047
Male,72.41831663,196.0285063,183.9425242,88.91696224,0,0,33834.85222,0.15116736,0.132390695,0.478314711,0.885466929,0.919435097
Male,63.97432572,172.8834702,162.4947873,78.41855902,0,0,26404.55591,0.389809295,0.853012538,0.144612178,0.882697316,0.351123731
Male,69.6400599,185.9839576,176.8857521,84.36083528,0,0,31288.56931,0.101898738,0.222375603,0.505124192,0.928239675,0.099897102
Male,67.93600485,182.426648,172.5574523,82.74726813,0,0,29776.07435,0.50770713,0.413652943,0.821914427,0.591610114,0.147116849
Male,67.91505019,174.1159291,172.5042275,78.9775925,0,0,29757.7085,0.685761861,0.055727853,0.2717865,0.5819715,0.898331826
Male,69.43943987,197.7314216,176.3761773,89.68939099,0,0,31108.55591,0.063915084,0.439593131,0.550922432,0.716079743,0.78885371
Male,66.14913196,149.173566,168.0187952,67.66393615,0,0,28230.31553,0.440095215,0.278583748,0.214260862,0.585129966,0.28296709
Male,75.20597361,228.7617806,191.023173,103.7645136,0,0,36489.85262,0.924532042,0.867073607,0.333051288,0.798745339,0.003989738
Male,67.89319634,162.0066518,172.4487187,73.48492123,0,0,29738.56058,0.924431963,0.877708928,0.819461685,0.693440358,0.701799384
Male,68.1440328,192.3439766,173.0858433,87.24568902,0,0,29958.70915,0.342897488,0.399926805,0.107322178,0.861632611,0.692548013
Male,69.08963143,184.4351744,175.4876638,83.65831963,0,0,30795.92016,0.37075639,0.996440087,0.842762178,0.657681735,0.947080028
Male,72.80084352,206.8281894,184.9141425,93.8156121,0,0,34193.24011,0.526607052,0.860549054,0.471040748,0.385800185,0.076464779
Male,67.42124228,175.2139224,171.2499554,79.47563349,0,0,29326.54722,0.175289218,0.187762901,0.286976483,0.360543,0.223181544
